pid,ing_c,outg_c,ID_c,story,group,storynum,resptype,rating
3,0.047597227,0.022236113,0.025361333,pos,ingrp,1,howbad,0
3,0.047597227,0.022236113,0.025361333,neg,ingrp,2,howbad,0.784
3,0.047597227,0.022236113,0.025361333,neg,ingrp,3,howbad,0.812
3,0.047597227,0.022236113,0.025361333,pos,ingrp,4,howbad,0
3,0.047597227,0.022236113,0.025361333,pos,ingrp,5,howbad,0
3,0.047597227,0.022236113,0.025361333,neg,ingrp,6,howbad,0.79
3,0.047597227,0.022236113,0.025361333,pos,ingrp,7,howbad,0.006
3,0.047597227,0.022236113,0.025361333,neg,ingrp,8,howbad,0.664
3,0.047597227,0.022236113,0.025361333,pos,neutral,9,howbad,0
3,0.047597227,0.022236113,0.025361333,neg,neutral,10,howbad,0.686
3,0.047597227,0.022236113,0.025361333,neg,neutral,11,howbad,0.606
3,0.047597227,0.022236113,0.025361333,pos,neutral,12,howbad,0.048
3,0.047597227,0.022236113,0.025361333,neg,neutral,13,howbad,0.67
3,0.047597227,0.022236113,0.025361333,pos,neutral,14,howbad,0.058
3,0.047597227,0.022236113,0.025361333,pos,neutral,15,howbad,0.018
3,0.047597227,0.022236113,0.025361333,neg,neutral,16,howbad,0.654
3,0.047597227,0.022236113,0.025361333,pos,outgrp,17,howbad,0
3,0.047597227,0.022236113,0.025361333,pos,outgrp,18,howbad,0
3,0.047597227,0.022236113,0.025361333,neg,outgrp,19,howbad,0.792
3,0.047597227,0.022236113,0.025361333,neg,outgrp,20,howbad,0.562
3,0.047597227,0.022236113,0.025361333,neg,outgrp,21,howbad,0.774
3,0.047597227,0.022236113,0.025361333,pos,outgrp,22,howbad,0.318
3,0.047597227,0.022236113,0.025361333,pos,outgrp,23,howbad,0.33
3,0.047597227,0.022236113,0.025361333,neg,outgrp,24,howbad,0.804
4,0.003597227,0.251569447,-0.247972,neg,ingrp,1,howbad,0.102
4,0.003597227,0.251569447,-0.247972,pos,ingrp,2,howbad,0.002
4,0.003597227,0.251569447,-0.247972,pos,ingrp,3,howbad,0
4,0.003597227,0.251569447,-0.247972,neg,ingrp,4,howbad,0.514
4,0.003597227,0.251569447,-0.247972,neg,ingrp,5,howbad,0.252
4,0.003597227,0.251569447,-0.247972,pos,ingrp,6,howbad,0
4,0.003597227,0.251569447,-0.247972,neg,ingrp,7,howbad,0.594
4,0.003597227,0.251569447,-0.247972,pos,ingrp,8,howbad,0
4,0.003597227,0.251569447,-0.247972,pos,neutral,9,howbad,0
4,0.003597227,0.251569447,-0.247972,neg,neutral,10,howbad,0.728
4,0.003597227,0.251569447,-0.247972,pos,neutral,11,howbad,0.004
4,0.003597227,0.251569447,-0.247972,neg,neutral,12,howbad,0.03
4,0.003597227,0.251569447,-0.247972,neg,neutral,13,howbad,0.572
4,0.003597227,0.251569447,-0.247972,pos,neutral,14,howbad,0
4,0.003597227,0.251569447,-0.247972,neg,neutral,15,howbad,0.564
4,0.003597227,0.251569447,-0.247972,pos,neutral,16,howbad,0
4,0.003597227,0.251569447,-0.247972,neg,outgrp,17,howbad,0.682
4,0.003597227,0.251569447,-0.247972,neg,outgrp,18,howbad,0.58
