pid,ing_c,outg_c,ID_c,story,group,bef_aft,storynum,resptype,rating
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,before,1,howbad,0.786
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,before,2,howbad,0.704
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,before,3,howbad,0.784
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,before,4,howbad,0.718
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,before,5,howbad,0.834
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,before,6,howbad,0.816
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,after,7,howbad,0.844
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,after,8,howbad,0.714
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,after,9,howbad,0.792
3,0.042843573,0.159755102,-0.11691156,neg,ingrp,after,10,howbad,0.844
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,after,11,howbad,0.824
3,0.042843573,0.159755102,-0.11691156,neg,outgrp,after,12,howbad,0.778
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,before,13,howbad,0.048
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,before,14,howbad,0.16
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,before,15,howbad,0.046
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,before,16,howbad,0.062
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,before,17,howbad,0.03
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,before,18,howbad,0.008
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,after,19,howbad,0.052
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,after,20,howbad,0.07
3,0.042843573,0.159755102,-0.11691156,pos,ingrp,after,21,howbad,0.016
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,after,22,howbad,0.088
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,after,23,howbad,0.108
3,0.042843573,0.159755102,-0.11691156,pos,outgrp,after,24,howbad,0.044
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,before,1,howbad,0.476
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,before,2,howbad,0.54
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,before,3,howbad,0.554
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,before,4,howbad,1
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,before,5,howbad,0.65
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,before,6,howbad,0.574
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,after,7,howbad,0.54
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,after,8,howbad,0.534
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,after,9,howbad,0.592
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,after,10,howbad,0.682
5,-0.185156427,0.069088436,-0.254244893,neg,outgrp,after,11,howbad,0.612
5,-0.185156427,0.069088436,-0.254244893,neg,ingrp,after,12,howbad,0.8
5,-0.185156427,0.069088436,-0.254244893,pos,ingrp,before,13,howbad,0
5,-0.185156427,0.069088436,-0.254244893,pos,ingrp,before,14,howbad,0.58
