journal_name,category,rank,source,issn_type,issn
nature human behaviour,"PSYCHOLOGY, EXPERIMENTAL",3,psych1,issn,2397-3374
nature human behaviour,"PSYCHOLOGY, EXPERIMENTAL",3,psych1,e_issn,2397-3374
psychological science in the public interest,"PSYCHOLOGY, MULTIDISCIPLINARY",4,psych1,issn,1529-1006
psychological science in the public interest,"PSYCHOLOGY, MULTIDISCIPLINARY",4,psych1,e_issn,1539-6053
psychological bulletin,PSYCHOLOGY,7,psych1,issn,0033-2909
psychological bulletin,PSYCHOLOGY,7,psych1,e_issn,1939-1455
trends in cognitive sciences,"PSYCHOLOGY, EXPERIMENTAL",10,psych1,issn,1364-6613
trends in cognitive sciences,"PSYCHOLOGY, EXPERIMENTAL",10,psych1,e_issn,1879-307X
behavioral and brain sciences,"PSYCHOLOGY, BIOLOGICAL",11,psych1,issn,0140-525X
behavioral and brain sciences,"PSYCHOLOGY, BIOLOGICAL",11,psych1,e_issn,1469-1825
psychotherapy and psychosomatics,PSYCHOLOGY,12,psych1,issn,0033-3190
psychotherapy and psychosomatics,PSYCHOLOGY,12,psych1,e_issn,1423-0348
advances in methods and practices in psychological science,PSYCHOLOGY,13,psych1,issn,2515-2459
advances in methods and practices in psychological science,PSYCHOLOGY,13,psych1,e_issn,2515-2467
educational psychologist,"PSYCHOLOGY, EDUCATIONAL",16,psych1,issn,0046-1520
educational psychologist,"PSYCHOLOGY, EDUCATIONAL",16,psych1,e_issn,1532-6985
american psychologist,"PSYCHOLOGY, MULTIDISCIPLINARY",18,psych1,issn,0003-066X
american psychologist,"PSYCHOLOGY, MULTIDISCIPLINARY",18,psych1,e_issn,1935-990X
qualitative psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",19,psych1,issn,2326-3601
qualitative psychology,"PSYCHOLOGY, MULTIDISCIPLINARY",19,psych1,e_issn,2326-3598
industrial and organizational psychology-perspectives on science and practice,"PSYCHOLOGY, APPLIED",20,psych1,issn,1754-9426
industrial and organizational psychology-perspectives on science and practice,"PSYCHOLOGY, APPLIED",20,psych1,e_issn,1754-9434
perspectives on psychological science,"PSYCHOLOGY, MULTIDISCIPLINARY",21,psych1,issn,1745-6916
perspectives on psychological science,"PSYCHOLOGY, MULTIDISCIPLINARY",21,psych1,e_issn,1745-6924
international journal of transgender health,"PSYCHOLOGY, CLINICAL",22,psych1,issn,2689-5269
international journal of transgender health,"PSYCHOLOGY, CLINICAL",22,psych1,e_issn,2689-5277
autism in adulthood,"PSYCHOLOGY, DEVELOPMENTAL",25,psych1,issn,2573-9581
autism in adulthood,"PSYCHOLOGY, DEVELOPMENTAL",25,psych1,e_issn,2573-959X
journal of applied psychology,"PSYCHOLOGY, APPLIED",26,psych1,issn,0021-9010
journal of applied psychology,"PSYCHOLOGY, APPLIED",26,psych1,e_issn,1939-1854
monographs of the society for research in child development,"PSYCHOLOGY, DEVELOPMENTAL",27,psych1,issn,0037-976X
